ConditionRating,OriginalPrice,Vendor,Model,RAM,ROM,UsageTime,Warranty,DentsRating,ScratchesRating,CameraWorking,ScreenCracks,DIsplayWorks,PredictedPrice
4,80000,1,6,6,64,0.4,1,0,0,1,0,1,79000
1,22999,3,1,4,128,1.5,0,0,2,1,1,1,10000
04,300000,1,8,8,128,6,1,0,0,1,0,1,200000
2,22000,2,3,4,64,3,0,3,4,1,1,0,8000
1,22000,2,13,4,32,3.5,0,1,1,1,0,1,6000
1,9000,2,12,8,2,4,0,0,4,1,1,0,2000
3,27000,2,15,6,128,1,1,0,1,1,0,1,30000
2,25000,4,1,4,128,3,0,0,0,1,0,1,20000
3,19500,3,1,4,64,1.5,0,0,1,1,1,1,12000
2,20000,4,3,3,64,1,0,0,0,1,0,1,10000
3,20000,4,5,4,64,3,0,3,1,1,1,1,15000
4,45000,4,2,12,256,3,1,0,0,1,0,1,36000
2,34000,3,7,6,128,1,1,1,0,1,0,1,20000
4,21500,2,16,4,64,0.25,1,0,0,1,0,1,21500
3,90000,2,25,12,256,3,1,0,1,0,1,1,80000
2,27000,3,2,6,64,5,0,0,1,0,0,1,5000
1,16000,2,10,3,32,8,0,4,4,1,1,1,6000
1,16000,4,3,2,16,2,0,2,3,1,1,0,4000
3,26000,3,15,4,256,2,0,0,0,1,0,1,100000
3,19400,2,2,3,32,2,0,1,2,1,0,1,9999
3,31000,3,21,16,256,6,1,1,1,1,0,1,36000
2,80000,1,4,4,256,0.5,0,0,0,1,0,1,50000
2,21000,2,3,6,64,2,0,1,3,1,1,1,15000
3,85000,2,26,6,512,3,0,0,0,1,0,0,60000
2,20000,3,16,4,64,3,0,3,3,0,1,1,10000
3,28000,3,4,6,64,2,0,0,1,1,1,1,20000
2,14000,2,7,2,32,1,0,1,1,1,1,1,3000
3,32000,3,8,6,128,1.5,0,0,0,1,0,1,24000
3,179999,2,25,12,512,8,1,0,0,1,0,1,100000
3,23000,3,5,8,128,3,0,0,0,1,0,1,15000
4,80000,4,2,12,256,0.2,1,0,0,1,0,1,70000
3,26000,3,6,4,128,1.4,0,2,3,0,1,1,10000
3,20000,4,1,4,128,1,1,0,0,1,0,1,12000
4,215000,1,9,6,256,1,1,0,0,1,0,1,200000
4,100000,1,7,6,256,1,0,1,1,1,0,1,70000
4,174000,1,8,6,128,0.5,1,0,0,1,0,1,160000
2,20000,2,3,4,64,2,0,1,2,1,1,0,8000
2,13999,2,1,4,64,2,0,2,4,1,1,1,8000
2,50000,2,23,8,256,4,0,4,4,1,1,1,10000
3,40000,2,5,8,132,0.9,1,0,0,1,1,1,36000
3,65000,4,1,8,256,1,0,0,3,1,0,1,35000
3,32000,3,19,8,128,2,0,4,4,1,1,0,20000
3,14000,3,10,2,32,2.5,0,0,0,1,0,1,7000
1,1500,4,6,2,0.5,1,0,0,0,0,0,0,1200
2,16000,2,6,1.6,16,5,0,1,0,1,1,1,5000
2,8000,4,4,2,16,3,0,0,2,1,1,1,2000
3,21000,2,3,4,64,3,1,1,1,1,0,1,5000
3,24000,2,4,4,64,1,0,0,0,1,0,1,19000
2,20000,2,20,4,64,1,0,1,1,1,1,1,12000
3,25000,2,21,4,128,0.25,1,0,0,1,0,1,20000
3,59000,2,27,8,128,2,0,1,2,1,0,1,40000
2,30000,2,19,4,128,4,1,0,0,1,0,1,10000
4,23000,3,13,4,64,1,0,0,0,1,0,1,18000
3,34999,3,7,45,164,1,0,1,0,1,0,1,29000
3,108000,1,3,4,64,3,0,1,1,1,0,1,50000
3,25000,2,14,4,64,1,0,1,1,1,1,1,12000
1,65000,1,2,2,32,6,0,0,2,1,0,1,10000
2,18500,3,9,6,64,3,0,0,1,1,1,1,12999
4,70000,1,5,4,128,3,1,0,0,1,0,1,50000
2,20000,1,1,1,16,1,0,1,3,1,1,0,7000
4,35000,4,1,8,256,1,1,0,0,1,0,1,30000
3,15000,3,14,4,64,1,1,0,0,1,0,1,10000
1,13000,3,11,2,16,4,0,0,0,1,1,1,6000
3,130000,2,28,12,512,0.5,0,0,0,1,0,1,100000
3,45000,3,17,8,128,1.7,0,0,0,1,0,1,30000
2,13000,3,10,3,20,2,0,0,1,1,1,1,10000
2,45000,3,20,6,256,2,0,1,3,1,1,1,15000
1,32000,2,8,4,64,4,0,1,2,1,0,1,15000
2,30000,3,3,6,128,3,0,0,1,1,0,1,15000
3,32000,3,18,6,128,2,0,2,2,1,0,1,20000
3,17000,2,11,4,64,1,1,1,1,1,1,1,10000
3,89000,1,5,6,128,1,0,1,1,1,0,1,50000
4,48000,4,3,8,128,1,0,0,0,1,0,1,35000
4,32000,2,22,6,128,1,1,0,0,1,1,1,30000
2,28000,2,17,4,64,4,0,0,0,1,1,1,15000
4,42510,2,18,8,128,2,0,0,0,1,0,1,35000
3,25500,3,5,6,128,3,0,0,0,1,0,1,18000
2,17000,2,9,2,16,4,0,0,3,1,0,1,9000
3,34000,3,7,8,128,1,1,0,0,1,0,1,2800
3,36000,2,19,4,64,2.583,0,0,0,1,0,1,16000
2,31000,3,4,6,128,2,0,2,3,1,0,1,20000
3,27000,3,4,6,128,3,0,0,1,1,0,1,15000
2,14000,3,12,4,64,3,0,1,2,0,1,1,900